Token,Transitivity,gpt_transitivity,gpt_subject,gpt_verb,gpt_object
"GoPro is uploading more often to its main YouTube channel, now with more than 2.2 million subscribers.",Intransitive,1,GoPro,is uploading,more often to its main YouTube channel
But you co-own it with whatever platform you're uploading into.,Intransitive,1,you,co-own,it
"Sadly, if you're uploading from iOS or Android, this limit is still applicable.",Intransitive,1,you,are uploading,from iOS or Android
"The Health Security Agency said a total of 40 countries have uploaded 8,040 BA.2 sequences since Nov.",Transitive,1,40 countries,have uploaded,"8,040 BA.2 sequences"
"Other countries that have uploaded more than 100 samples are India (530), Sweden (181), and Singapore (127), the agency said.",Transitive,1,Other countries,have uploaded,more than 100 samples
"Since mid-November, more than three dozen countries have uploaded nearly 15,000 genetic sequences of BA.2 to GISAID, a global platform for sharing coronavirus data.",Transitive,1,more than three dozen countries,have uploaded,"nearly 15,000 genetic sequences of BA.2"
"As per data, between January 1 and 24, a total of 1,98,000 people have uploaded their test results of whom 4,397 are positive.",Transitive,1,"1,98,000 people",have uploaded,their test results
"The seller also claims that this is the "" one and only working Larrabee prototype in the world, "" and they appear to have uploaded a YouTube video showing the GPU installed in a desktop and running on Windows.",Transitive,1,The seller,claims,"that this is the "" one and only working Larrabee prototype in the world, "" and they appear to have uploaded a YouTube video showing the GPU installed in a desktop and running on Windows"
"Many of her followers highlight her biracial background admiringly, calling her a "" biracial beauty, "" while others have uploaded tutorials on how to wear makeup to look more like Gu, with "" biracial vibes.",Transitive,1,others,have uploaded,tutorials
"This meeting includes the landlord, the tenant and a court-trained mediator who makes sure both parties have uploaded the proper paperwork, and sees if they can work out a deal.",Transitive,1,This meeting,includes,"the landlord, the tenant and a court-trained mediator"
"According to Spotify, there are over 8 million artists on its platform, of which about 2.6 million have uploaded at least ten songs.",Transitive,1,2.6 million,have uploaded,at least ten songs
"At the same time, Blizzard boss Mike Ybarra emailed staff saying they'll continue to require vaccination for at least the next few months and that about 80% of their employees in Irvine, Austin, and Albany have uploaded proof of vaccination.",Transitive,1,Blizzard boss Mike Ybarra,emailed,staff
"What they do seem to know is that doctors have uploaded almost 15,000 genetic sequences of BA.2 to a global COVID database shared by researchers around the world.",Transitive,1,doctors,have uploaded,"almost 15,000 genetic sequences of BA.2"
"An hour and a quarter later, the pigeons had reached their destination in Skegness 120km away, while only 24% of a 300MB file had uploaded.",Intransitive,0,the pigeons,had reached,
"It's centuries into the future, self-aware technology has formed a "" singularity "" -- a floating superbrain cloud in the upper atmosphere -- and his parents have already uploaded to it, leaving their bodies behind.",Intransitive,1,his parents,have uploaded,to it
"It was revealed that she'd actually uploaded -- potentially meaning that she had ended her own life in order to come join Nathan, who had just broken up with her a few days before.",Intransitive,1,she,had ended,her own life
"By providing easy access to the vast archive (130,000 photos have already uploaded just to break the electronic ground) Holocaust deniers will be easily be exposed as flat-earthers and disturbed conspiracy theorists.",Intransitive,1,Holocaust deniers,will be exposed,as flat-earthers and disturbed conspiracy theorists
It appears that only new photos will upload at this point.,Intransitive,1,It,upload,new photos
Your activities from HR2VP will upload to Strava in an instant.,Intransitive,1,Your activities from HR2VP,will upload,to Strava
Simply drag the picture onto the email from your files and it will upload and appear at the top.,Intransitive,1,you,drag,the picture
"When you've selected the image you want, it will upload to the site and appear below the reply/text box that you are creating and give you 2 choices: ",Intransitive,1,you,selected,the image you want
"If you want to spend your Saturday watching the entire run, the VODs will upload later to GDQ's YouTube channel, or you can jump to the 12:51:00 mark in this Twitch archive.",Intransitive,1,the VODs,will upload,later to GDQ's YouTube channel
"YouTube's Content ID checks for copyrighted material as it's uploading, and analyzes the video's content, description, and metadata for "" Ad Suitability "" issues.",Intransitive,1,YouTube's Content ID,checks,for copyrighted material
"Want to stream 4K video, while someone else is using a data-hungry program that's uploading to the internet? Say no more.",Intransitive,1,you,want,to stream 4K video
Hopefully this photo is more clear - not sure why they're uploading blurry...,Intransitive,0,this photo,is,
"And at least initially, activities recorded with the Fitbit app on Wear watches will not upload to Google Fit.",Intransitive,1,activities,recorded,with the Fitbit app on Wear watches
It will not upload to comments if it is over that size.,Intransitive,1,It,upload,to comments
"If you are trying to do a short sale in CA and you are not a Remax agent, the file will not upload to Equator.",Intransitive,1,the file,will not upload,to Equator
"The Lightning is shipping to customers now with a starting price of $39,974 before any options and fees.",Intransitive,1,The Lightning,is shipping,"to customers now with a starting price of $39,974 before any options and fees"
OnePlus' budget phone is shipping with Android 11.,Intransitive,1,OnePlus' budget phone,is shipping,with Android 11
Summer Is Tomorrow is shipping in from Dubai after finishing second in the Grade II UAE Derby.,Intransitive,1,Summer Is Tomorrow,is shipping,in from Dubai
"The company is also rolling out hot-updates, so you can keep using an app even while an update for the very same app is downloading and installing in the background.",Intransitive,1,The company,is rolling out,hot-updates
"The company is also rolling out hot-updates, so you can keep using an app even while an update for the very same app is downloading and installing in the background.",Intransitive,1,The company,is rolling out,hot-updates
"While this is downloading and installing, you'll be able to use the new Xbox app to start tinkering with the settings.",Intransitive,1,you,be able to use,the new Xbox app
"While this is downloading and installing, you'll be able to use the new Xbox app to start tinkering with the settings.",Intransitive,1,you,be able to use,the new Xbox app
Bristle will upload your test results to your online account.,Transitive,1,Bristle,upload,your test results
That's when the Webb team will upload observations of galaxy mergers to a website for her and her colleagues to access.,Transitive,1,the Webb team,will upload,observations of galaxy mergers
"Typically, Nucleus users will upload their own genetic results previously obtained by an at-home testing company like 23andMe or Ancestry.",Transitive,1,Nucleus users,will upload,their own genetic results
Sometimes people will upload a game before it's taken down after a year or so.,Transitive,1,people,upload,a game
"A lot of underground acts have these online haters, and they just will upload random songs and tag the artist, "" he says.",Transitive,1,they,will upload,random songs
"His bio stated he'd been uploading music since he was 11 and said he had "" net worth "" that was "" estimated at $100 thousand.",Transitive,1,His bio,stated,"he'd been uploading music since he was 11 and said he had "" net worth "" that was "" estimated at $100 thousand"
They also claim they have the GTA VI source code and will upload it.,Transitive,1,they,have,the GTA VI source code
"They will upload a video, and two hours later they are swapping thumbnails.",Transitive,1,They,will upload,a video
"After collecting the data, volunteers will upload it to BioBase, which will generate a multilayered map.",Transitive,1,volunteers,will upload,it
"And the way it works is that they will upload a hash to a common database, so basically a digital fingerprint, of that video that then platforms can run any uploads to their platform against.",Transitive,1,they,will upload,a hash
I will upload more footage from these walks on my YouTube channel.,Transitive,1,I,will upload,more footage
The rapper had been uploading videos to TikTok since the end of last year.,Transitive,1,The rapper,had been uploading,videos
He's been uploading videos so students can stay caught up despite quarantine.,Transitive,1,He,uploading,videos
"Once you've been uploading content regularly, you'll start to notice the trend on how each post performs.",Transitive,1,you,notice,the trend on how each post performs
The cast members have also been uploading photos onto social media.,Transitive,1,The cast members,have been uploading,photos
The parody videos that' Squid Game' viewers have been uploading are so fun.,Transitive,1,The parody videos,have been uploading,'Squid Game' viewers
Some even think we will eventually upload ourselves into silicon brains or virtual worlds and escape our carbon bodies altogether.,Transitive,1,we,will eventually upload,ourselves into silicon brains or virtual worlds
Click this and then unzip the file when it has downloaded.,Intransitive,1,you (implied),unzip,the file
"Once the application has downloaded, run it. ",Intransitive,0,the application,has downloaded,
"When the file has downloaded, install it and choose' Join' from the initial screen.",Intransitive,1,you,install,it
"If the apps haven't downloaded yet, they show up as a gray icon in a circle.",Intransitive,1,they,show up,as a gray icon in a circle
You'll be prompted and Windows 11 will download to it.,Intransitive,1,Windows 11,will download,to it
"Once that's done, Steam will download to your machine, at which point you can login and start downloading games.",Intransitive,1,Steam,will download,to your machine
"The update will download, and your iPhone will automatically restart once it's ready.",Intransitive,0,The update,will download,
"Changes to the name and logo will come via title updates that will download automatically,  the EA rep explained to Kotaku.",Intransitive,1,the EA rep,explained,to Kotaku
This report will download for your use.,Intransitive,1,This report,will download,for your use
The game downloaded and installed in 50 seconds the first time and in 55 seconds on the second installation.,Intransitive,1,The game,downloaded and installed,in 50 seconds the first time and in 55 seconds on the second installation
The game downloaded and installed in 50 seconds the first time and in 55 seconds on the second installation.,Intransitive,1,The game,downloaded and installed,in 50 seconds the first time and in 55 seconds on the second installation
"As the games downloaded and appeared on my dashboard, I'd pop into them to see what was what.",Intransitive,1,I,pop,them
A 2.9GB game downloaded in less than a minute.,Intransitive,1,A 2.9GB game,downloaded,in less than a minute
The FX20 is expected to be shipping worldwide in the first half of 2022.,Intransitive,1,The FX20,is expected,to be shipping worldwide in the first half of 2022
"Of course, this version won't be shipping with Flash Player.",Intransitive,1,this version,be shipping,Flash Player
It will be shipping to customers from September 15.,Intransitive,0,It,will be shipping,
The Nano-C98 will be shipping in November at $245 US.,Intransitive,0,The Nano-C98,will be shipping,
"They'll be shipping in the next two to three weeks, so get your tickets now.",Intransitive,0,They,be shipping,
The game will install onto the PS5's hard drive and you'll be able to play it as long as the disc is in the system.,Intransitive,1,The game,will install,onto the PS5's hard drive
Code Blocks will install and is ready to be used.,Intransitive,0,Code Blocks,will install,
"What there is, is a BazarLoader executable file that will install instead.",Intransitive,1,a BazarLoader executable file,will install,instead
Completed rides will automatically upload to all authorized third party accounts.,Intransitive,1,Completed rides,upload,to all authorized third party accounts
The data will automatically download in the background while you play World of Warcraft or while you have the Launcher window open.,Intransitive,1,The data,will automatically download,in the background
The new content will automatically download when you log-in to play the game.,Intransitive,1,The new content,will automatically download,when you log-in to play the game
