Token,Transitivity,subjectAnimacy,subjectRole,gpt_transitivity,gpt_subject,gpt_verb,gpt_object,gpt_subject_animacy,gpt_subject_role
"And at least initially, activities recorded with the Fitbit app on Wear watches will not upload to Google Fit.",Intransitive,1,Patient,1,activities recorded with the Fitbit app on Wear watches,upload,to Google Fit,1,agent
It will not upload to comments if it is over that size.,Intransitive,1,Patient,0,It,upload,,1,subject
"If you are trying to do a short sale in CA and you are not a Remax agent, the file will not upload to Equator.",Intransitive,1,Patient,0,you,trying,,0,agent
"The Lightning is shipping to customers now with a starting price of $39,974 before any options and fees.",Intransitive,1,Patient,0,The Lightning,is shipping,,1,subject
OnePlus' budget phone is shipping with Android 11.,Intransitive,1,Patient,1,OnePlus' budget phone,is shipping,Android 11,1,agent
Summer Is Tomorrow is shipping in from Dubai after finishing second in the Grade II UAE Derby.,Intransitive,0,Patient,1,Summer Is Tomorrow,shipping,in from Dubai after finishing second in the Grade II UAE Derby.,1,subject
"The company is also rolling out hot-updates, so you can keep using an app even while an update for the very same app is downloading and installing in the background.",Intransitive,1,Patient,0,The company,is rolling out,,1,agent
"The company is also rolling out hot-updates, so you can keep using an app even while an update for the very same app is downloading and installing in the background.",Intransitive,1,Patient,0,The company,is rolling out,,1,agent
"While this is downloading and installing, you'll be able to use the new Xbox app to start tinkering with the settings.",Intransitive,1,Patient,0,you,be able to use,the new Xbox app,0,agent
"While this is downloading and installing, you'll be able to use the new Xbox app to start tinkering with the settings.",Intransitive,1,Patient,0,you,be able to use,the new Xbox app,0,agent
Bristle will upload your test results to your online account.,Transitive,1,Agent,1,Bristle,upload,your test results,1,agent
That's when the Webb team will upload observations of galaxy mergers to a website for her and her colleagues to access.,Transitive,0,Agent,1,the Webb team,upload,observations of galaxy mergers,1,agent
"Typically, Nucleus users will upload their own genetic results previously obtained by an at-home testing company like 23andMe or Ancestry.",Transitive,0,Agent,1,Nucleus users,upload,their own genetic results previously obtained by an at-home testing company like 23andMe or Ancestry.,0,agent
Sometimes people will upload a game before it's taken down after a year or so.,Transitive,0,Agent,1,people,upload,a game,0,agent
"A lot of underground acts have these online haters, and they just will upload random songs and tag the artist, "" he says.",Transitive,0,Agent,1,A lot of underground acts,have,these online haters,1,agent
"His bio stated he'd been uploading music since he was 11 and said he had "" net worth "" that was "" estimated at $100 thousand.",Transitive,0,Agent,0,His bio,stated,,0,agent
They also claim they have the GTA VI source code and will upload it.,Transitive,0,Agent,1,They,claim,they have the GTA VI source code,0,agent
"They will upload a video, and two hours later they are swapping thumbnails.",Transitive,0,Agent,1,They,upload,a video,0,agent
"After collecting the data, volunteers will upload it to BioBase, which will generate a multilayered map.",Transitive,0,Agent,1,volunteers,upload,it,0,agent
"And the way it works is that they will upload a hash to a common database, so basically a digital fingerprint, of that video that then platforms can run any uploads to their platform against.",Transitive,0,Agent,1,they,upload,a hash,0,agent
I will upload more footage from these walks on my YouTube channel.,Transitive,0,Agent,1,I,upload,more footage from these walks on my YouTube channel.,0,agent
The rapper had been uploading videos to TikTok since the end of last year.,Transitive,0,Agent,1,The rapper,had been uploading,videos to TikTok,0,agent
He's been uploading videos so students can stay caught up despite quarantine.,Transitive,0,Agent,1,He,uploading,videos,0,agent
"Once you've been uploading content regularly, you'll start to notice the trend on how each post performs.",Transitive,0,Agent,0,you,notice,,0,agent
The cast members have also been uploading photos onto social media.,Transitive,0,Agent,1,The cast members,have been uploading,photos,0,agent
The parody videos that' Squid Game' viewers have been uploading are so fun.,Transitive,0,Agent,1,The parody videos that 'Squid Game' viewers have been uploading,are,so fun,1,agent
Some even think we will eventually upload ourselves into silicon brains or virtual worlds and escape our carbon bodies altogether.,Transitive,0,Agent,0,we,think,,0,agent
Click this and then unzip the file when it has downloaded.,Intransitive,1,Patient,1,you,unzip,the file,0,agent
"Once the application has downloaded, run it. ",Intransitive,1,Patient,1,the application,downloaded,it,1,agent
"When the file has downloaded, install it and choose' Join' from the initial screen.",Intransitive,1,Patient,1,the file,downloaded,it,1,agent
"If the apps haven't downloaded yet, they show up as a gray icon in a circle.",Intransitive,1,Patient,1,the apps,downloaded,yet,1,agent
You'll be prompted and Windows 11 will download to it.,Intransitive,1,Patient,1,You,be prompted,Windows 11,0,agent
"Once that's done, Steam will download to your machine, at which point you can login and start downloading games.",Intransitive,1,Patient,1,Steam,download,to your machine,1,agent
"The update will download, and your iPhone will automatically restart once it's ready.",Intransitive,1,Patient,1,your iPhone,restart,once it's ready,1,patient
"Changes to the name and logo will come via title updates that will download automatically,  the EA rep explained to Kotaku.",Intransitive,1,Patient,1,Changes to the name and logo,come,via title updates,1,agent
This report will download for your use.,Intransitive,1,Patient,1,This report,will download,for your use,1,agent
The game downloaded and installed in 50 seconds the first time and in 55 seconds on the second installation.,Intransitive,1,Patient,1,The game,downloaded and installed,in 50 seconds the first time and in 55 seconds on the second installation,1,agent
The game downloaded and installed in 50 seconds the first time and in 55 seconds on the second installation.,Intransitive,1,Patient,1,The game,downloaded and installed,in 50 seconds the first time and in 55 seconds on the second installation,1,agent
"As the games downloaded and appeared on my dashboard, I'd pop into them to see what was what.",Intransitive,1,Patient,1,I,pop,into them,0,agent
A 2.9GB game downloaded in less than a minute.,Intransitive,1,Patient,0,A 2.9GB game,downloaded,,1,subject
The FX20 is expected to be shipping worldwide in the first half of 2022.,Intransitive,1,Patient,0,The FX20,is expected,,1,subject
"Of course, this version won't be shipping with Flash Player.",Intransitive,1,Patient,0,this version,shipping,,1,subject
It will be shipping to customers from September 15.,Intransitive,1,Patient,0,It,will be shipping,,1,subject
The Nano-C98 will be shipping in November at $245 US.,Intransitive,1,Patient,0,The Nano-C98,will be shipping,,1,subject
"They'll be shipping in the next two to three weeks, so get your tickets now.",Intransitive,1,Patient,0,They,shipping,,0,agent
The game will install onto the PS5's hard drive and you'll be able to play it as long as the disc is in the system.,Intransitive,1,Patient,1,The game,install,onto the PS5's hard drive,1,agent
Code Blocks will install and is ready to be used.,Intransitive,1,Patient,1,Code Blocks,install,and is ready to be used,1,agent
"What there is, is a BazarLoader executable file that will install instead.",Intransitive,1,Patient,0,there,is,,1,subject
Completed rides will automatically upload to all authorized third party accounts.,Intransitive,1,Patient,1,Completed rides,upload,to all authorized third party accounts,1,agent
The data will automatically download in the background while you play World of Warcraft or while you have the Launcher window open.,Intransitive,1,Patient,0,The data,download,,1,subject
The new content will automatically download when you log-in to play the game.,Intransitive,1,Patient,1,The new content,will download,automatically,1,agent
