text,transitivity,gpt_transitivity,causativity,gpt_causativity,subject_animacy,gpt_subject_animacy,subject_role,gpt_subject_role,gpt_subject,gpt_verb,gpt_object
""" So I arranged with the studio to screen the picture for you. They're waiting down there right now. """,transitive,transitive,causative,causative,animate,animate,agent,agent,I,screen,the picture
"Freedman did so by refusing to let the censors screen a non-obscene movie: Revenge at Daybreak, a French film about the Irish Rebellion that the board admittedly would have licensed had Freedman submitted it.",transitive,transitive,causative,causative,animate,animate,agent,agent,the censors,screen,"a non-obscene movie: Revenge at Daybreak, a French film about the Irish Rebellion"
He said that one afternoon when we screened a story showing American soldiers cutting the ears off dead Vietcong as souvenirs.,transitive,transitive,causative,causative,animate,animate,agent,agent,we,screened,a story showing American soldiers cutting the ears off dead Vietcong as souvenirs
""" How would I have seen it, it's not in release, I mean is it? "" "" Maria, for Christ's fucking sake, they've been screening it every night for a month, you know that -- oh shit. """,transitive,transitive,causative,causative,animate,animate,agent,agent,they,screening,it
"After the reception I myself gave a dinner party l'or ten people, and after that my film was screened.",intransitive,intransitive,causative,anticausative,inanimate,inanimate,patient,patient,my film,screened,
"Starting today, N.B.C. will screen daily Olympic programs, ranging from 15 minutes to an hours or two, through Oct. 25. ",transitive,transitive,causative,causative,animate,animate,agent,agent,N.B.C.,screen,daily Olympic programs
"Felton screened Grand Slam at M-G-M, for the last time.",transitive,transitive,causative,causative,animate,animate,agent,agent,Felton,screened,Grand Slam
"Shirley Clarke, a director who employs an elegantly disciplined understanding of cinema form to investigate extreme situations (The Connection, The Cool World), has made in Portrait of Jason one of the most daring films ever screened.",intransitive,transitive,causative,causative,inanimate,animate,patient,agent,Shirley Clarke,screened,one of the most daring films ever
"In addition to screening Man vs. Actor, Brown delivered a five-minute talk on television each evening and took part in an hour-long telethon. ",transitive,transitive,causative,causative,animate,animate,agent,agent,Brown,screening,Man vs. Actor
"Their crude, transparent, inexpert lies are counterparts to her one Happenings, of all art forms, are dependent on a photographic record, it the fugitive actions are not to be confined to the participants' memories Claes Oldenburg's season of Happenings, 1961-62, the last of the classic first wave, was filmed by Raymond Saroff and will be screened bb the Museum ot Modern Art (date not set) during the run ot Oldenhurg's current exhibition",intransitive,intransitive,causative,anticausative,inanimate,inanimate,patient,patient,"Claes Oldenburg's season of Happenings, 1961-62",screened,
"The only one he received came from Maravich, who allowed as how he thought a lot of folks would show up if Williams screened Deep Throat every halftime.",transitive,transitive,causative,causative,animate,animate,agent,agent,Williams,screened,Deep Throat
"He sent out for dinner, made the couch into a bed, loosened his clothes, settled full length in the embrace of a lounger, and considered what entertainment to screen.",transitive,transitive,causative,causative,animate,animate,agent,agent,he,screen,what entertainment
"One night he offered to screen a new movie, and I told him I wasn't that crazy about movies. ",transitive,transitive,causative,causative,animate,animate,agent,agent,he,screen,a new movie
Norton's film of memory screened an incident that had occurred four years before.,transitive,transitive,causative,causative,inanimate,inanimate,agent,agent,Norton's film of memory,screened,an incident that had occurred four years before
They're screening one of my disasters on the telly.,transitive,transitive,causative,causative,animate,animate,agent,agent,They,screening,one of my disasters
"Wolff screened the show first for his immediate superior, Bill Leonard, then for Richard Salant, president of CBS News, vice president Burton Benjamin, and Cronkite, and there followed a snow of memos.",transitive,transitive,causative,causative,animate,animate,agent,agent,Wolff,screened,the show
"More than 400 films are screened during the festival, most of them porn, hard and soft, shown out of prize competition in back-street cinemas, distribution rights readily available. ",intransitive,intransitive,causative,anticausative,inanimate,inanimate,patient,patient,More than 400 films,screened,
"An ex-service station near Southfield, Mich., is now screening pornographic movies.",transitive,transitive,causative,causative,animate,inanimate,agent,agent,"An ex-service station near Southfield, Mich.",screening,pornographic movies
"Once the films are completed, they are screened for specially selected groups of consumers chosen from selected cities across the United States. ",intransitive,transitive,causative,causative,inanimate,animate,patient,agent,they,screened,for specially selected groups of consumers
"The center, which produces its own documentaries, screens those of others and gives courses in video production, last year conducted a series of workshops at public-television stations across the county on the state of video art and the new cassette technology.",transitive,transitive,causative,causative,animate,animate,agent,agent,The center,screens,those of others
"Travolta draws a vivid picture of the 80-year-old legend and the earnest acolyte trading stories, screening each other's movies together, sitting up after midnight as Cagney teaches his heir how to do the gimp walk from "" Love Me or Leave Me "" or the walk up the wall in "" Yankee. "" ",transitive,transitive,causative,causative,animate,animate,agent,agent,Travolta,screening,each other's movies
It is said that Sellers cried when the film was screened for him.,intransitive,intransitive,causative,anticausative,inanimate,inanimate,patient,patient,the film,screened,
"When she again brought up the videotape of his interview with Cale Caldwell, he told her that he'd changed his mind and that if anyone wanted to screen it they'd have to come to the studio. ",transitive,transitive,causative,causative,animate,animate,agent,agent,anyone,screen,it
What about screening Quentin Hughes's videotape of the Cale Caldwell interview?,transitive,transitive,causative,causative,animate,animate,agent,agent,(implied subject),screening,Quentin Hughes's videotape of the Cale Caldwell interview
"Once a year, Corliss interrupts his hectic schedule to serve on the selection committee for the New York Film Festival, which means screening as many as 200 films over a period of seven weeks.",transitive,transitive,causative,causative,animate,animate,agent,agent,Corliss,screening,as many as 200 films
"They journeyed to the White House when Ragtime was screened for the President, and this week at the New York Press Club, Cagney will memorialize his old friend Robert Montgomery, who died in September.",intransitive,intransitive,causative,anticausative,inanimate,inanimate,patient,patient,Ragtime,screened,
""" Why are you screening it? "" It was touching to think of him watching the film that he directed Sal Mineo in twenty years ago.",transitive,transitive,causative,causative,animate,animate,agent,agent,you,screening,it
"Anyway, you laughed your head off when we screened it last week.",transitive,transitive,causative,causative,animate,animate,agent,agent,we,screened,it
"As he began supervising the cover package in New York, Senior Editor Christopher Porterfield, once a television producer himself, screened a large portion of The Winds of War and assessed the context in which it was made.",transitive,transitive,causative,causative,animate,animate,agent,agent,Senior Editor Christopher Porterfield,screened,a large portion of The Winds of War
"And when Boat People was screened at the Cannes Film Festival in May, and this fall at the New York Film Festival, it raised hackles on the neck of the left. ",intransitive,intransitive,causative,anticausative,inanimate,inanimate,patient,patient,Boat People,screened,"at the Cannes Film Festival in May, and this fall at the New York Film Festival"
"I'll arrange to screen the rushes for you daily. Movies, just for you.",transitive,transitive,causative,causative,animate,animate,agent,agent,I,screen,the rushes
"While I was having this downloaded to screen for the President, he activated Minuteman.",transitive,intransitive,causative,anticausative,animate,animate,agent,agent,I,screen,
You like bad movies? [Switek] and [Zito] are screening their latest musical comedy.,transitive,transitive,causative,causative,animate,animate,agent,agent,Switek and Zito,screening,their latest musical comedy
"After Director Roland Joffe screened the film for him, the composer announced that he would not do the music. ",transitive,transitive,causative,causative,animate,animate,agent,agent,Director Roland Joffe,screened,the film
"Aly continued to screen Gilda for himself at least once a month, a fact that seemed to support Rita's contention to a friend that Aly had fallen in love with Gilda, not Margarita Cansino.",transitive,transitive,causative,causative,animate,animate,agent,agent,Aly,screen,Gilda
"So far, reports Schwab, network programmers who have screened the show were "" tremendously moved "" but, he sadly adds, found it "" too strong. "" ",transitive,transitive,causative,causative,animate,animate,agent,agent,network programmers,screened,the show
"Each spring, after the networks announce their new schedules, the agencies screen samples of the season's shows. ",transitive,transitive,causative,causative,animate,animate,agent,agent,the agencies,screen,samples of the season's shows
"Instead, the network would permit them to screen filmed episodes and withdraw ads from particular ones. ",transitive,transitive,causative,causative,animate,animate,agent,agent,them,screen,filmed episodes
"In March, when the theater last screened the movie, paired with "" Gaslight, "" it sold fewer tickets than "" All About Eve/ "" Beyond the Forest "" and "" Blonde Venus "" / "" Morocco "" bills.",transitive,transitive,causative,causative,animate,inanimate,agent,agent,the theater,screened,the movie
"When the University of Cincinnati Film Society screened Jean-Luc Godard's controversial movie "" Hail Mary "" last year, [...]",transitive,transitive,causative,causative,animate,animate,agent,agent,the University of Cincinnati Film Society,screened,"Jean-Luc Godard's controversial movie ""Hail Mary"""
"Still, there are a number of reasons for exhibitors to want to screen "" Willow. """,transitive,transitive,causative,causative,animate,animate,agent,agent,exhibitors,screen,"""Willow"""
"Welles the theater Wunderkind working around the clock with John Houseman to oversee Mercury Theater productions; Welles the eager film apprentice screening John Ford' s "" Stagecoach "" 40 times to learn cinematic technique",transitive,transitive,causative,causative,animate,animate,agent,agent,Welles the eager film apprentice,screening,"John Ford's ""Stagecoach"""
"In 1928, the very year in which The Jazz Singer was being screened all over America, Ludwig Lewisohn, who was then one of the bestknown figures in American letters, published a call to return to Jewish identity under the title The Island Within.",intransitive,intransitive,causative,anticausative,inanimate,inanimate,patient,patient,The Jazz Singer,screened,all over America
Wouldn't you love to have known what films that Welles and Toland screened together?,transitive,transitive,causative,causative,animate,animate,agent,agent,Welles and Toland,screened,what films
"The little screening room was packed because we'd heard Citizen Kane is going to be screened which was one of the major events, I think, at that time",intransitive,intransitive,causative,anticausative,inanimate,inanimate,patient,patient,Citizen Kane,screened,
Producer John Langley was screening a rough cut of his new Fox network show Cop Files a couple of weeks,transitive,transitive,causative,causative,animate,animate,agent,agent,Producer John Langley,screening,a rough cut of his new Fox network show Cop Files
"For a year, the national film board nervously weighed the $150,000 movie's "" artistic merit, "" and Eyde voluntarily screened You Only Live Once (La Vida Es Una Sola) for Peru's top military officers so they could see it was not pro-Sendero.",transitive,transitive,causative,causative,animate,animate,agent,agent,Eyde,screened,You Only Live Once (La Vida Es Una Sola)
Investigator Terry Grosz is screening a snuff film. ,transitive,transitive,causative,causative,animate,animate,agent,agent,Investigator Terry Grosz,screening,a snuff film
"Clint Eastwood, Elizabeth Taylor, Mel Gibson and Tom Cruise are vocal fans of the film, and Thornton's fellow Arkansan Bill Clinton is expected to screen it at the White House soon.",transitive,transitive,causative,causative,animate,animate,agent,agent,Bill Clinton,screen,it
"Edward suffered through propaganda screened at the local theater, he had seen newsreel footage of an orno flying inside a temple, flapping before the benevolent gaze of a giant, golden Buddha.",intransitive,intransitive,causative,anticausative,inanimate,inanimate,patient,patient,propaganda,screened,at the local theater
"Comint has assailed KCET for declining to run "" Fire from the Sun, "" a show on fusion energy, on the grounds that it was partly funded by the Department of Energy, while screening "" The Abandoned Field -- Free-Fire Zone, "" a made-in-Vietnam piece of propaganda about how the war disrupted the lives of two Vietcong collaborators.",transitive,transitive,causative,causative,animate,animate,agent,agent,Comint,screening,"""The Abandoned Field -- Free-Fire Zone"""
"In 1988, he attended the Toronto film festival, where the documentary called Growing Up in America was screened.",intransitive,intransitive,causative,anticausative,inanimate,inanimate,patient,patient,the documentary called Growing Up in America,screened,
"In the past two years, Kaprall has screened 1,800 public-access shows -- nearly 3,000 hours' worth -- the "" best "" of which he excerpts on Access America, his weekly series (Thursdays at 9:30 P.M. ET) on cable's Comedy Central network.",transitive,transitive,causative,causative,animate,animate,agent,agent,Kaprall,screened,"1,800 public-access shows"
Some cable systems require that the name of the local producer or sponsor of public access programs be shown on the television screen before and after screening.,intransitive,intransitive,causative,anticausative,animate,inanimate,agent,patient,the name of the local producer or sponsor of public access programs,screening,
"Over the past two years, the work-in-progress film has been screened many times for the entire staff, thus giving each member of the company a sense of pride and ownership -- and often resulting in new ideas and jokes to improve the film.",intransitive,intransitive,causative,anticausative,inanimate,inanimate,patient,patient,the work-in-progress film,screened,
An ill-tempered Lord rudely cut off performer-participants in Santa Monica who were showing us their altered (now anatomically correct) Barbie and Ken readymades in order to screen videotaped comments by Camille Paglia and Raquel Welch.,transitive,transitive,causative,causative,animate,animate,agent,agent,An ill-tempered Lord,screen,videotaped comments by Camille Paglia and Raquel Welch
"He's a brotha who screened Waiting to Exhale and saw no semblance of himself ("" I don't know why that movie bothered men. I loved everything about it. "").",transitive,transitive,causative,causative,animate,animate,agent,agent,He's a brotha,screened,Waiting to Exhale
"To illustrate the horror of union organizing, DeMaria screens the first video in a series made especially for supervisors.",transitive,transitive,causative,causative,animate,animate,agent,agent,DeMaria,screens,the first video in a series made especially for supervisors
"When the film screens Friday through next Sunday it will serve as a time machine to the San Francisco days when love was the word on the street, beads were the most popular form of jewelry, the young were called "" flower children "" and "" do your own thing "" was the catch phrase for a generation that had eschewed the Establishment to live a loose, free, indolent lifestyle.",intransitive,intransitive,anticausative,anticausative,inanimate,inanimate,patient,patient,the film,screens,
""" Strange and Bizarre War Propaganda Films! "" will be screened at the 16th Street theater on Friday and Saturday.",intransitive,intransitive,causative,anticausative,inanimate,inanimate,patient,patient,Strange and Bizarre War Propaganda Films,screened,
"Cinematheque associate Laura Poitras, who has taken a special interest in serial queens in recent years, has assembled a selection of these action-packed adventures for "" In Danger and Dire Distress: Serial Queens of the Silent Era, "" which will be screened at 8 p.m. Thursday at the San Francisco Art Institute, 800 Chestnut Street. ",intransitive,intransitive,causative,anticausative,inanimate,inanimate,patient,patient,which,screened,
"The Times's Cieply noted Taking Chance in passing in a December 2008 report on the Sundance Film Festival, where it was screened.",intransitive,intransitive,causative,anticausative,inanimate,inanimate,patient,patient,it,screened,
"Teresa pauses once again, as if screening a film of the future on fastforward.",transitive,transitive,causative,causative,animate,animate,agent,agent,Teresa,screening,a film of the future
" "" The film was delivered here, it's eligible and we're going to screen it, "" says Bruce Davis, executive director of the Academy.",transitive,transitive,causative,causative,animate,animate,agent,agent,we,screen,it
"Carter's first event in Mexico City was a luncheon, but it ran so late I had to leave the pool and go to our jerry-built edit room, where Venardos and a videotape editor were screening tapes and getting ready to record my script about how even the president of Mexico lectured this president of the United States.",transitive,transitive,causative,causative,animate,animate,agent,agent,Venardos and a videotape editor,screening,tapes
We're screening The Godfather here tonight.,transitive,transitive,causative,causative,animate,animate,agent,agent,We,screening,The Godfather
"She was screening her film, all four hours of it. ",transitive,transitive,causative,causative,animate,animate,agent,agent,She,screening,her film
"When NBC axed the series in March -- after shelving and relaunching it so many times viewers needed a divining rod to find it -- the Museum of Television and Radio made the unusual offer to screen its six unaired episodes at its New York City and Los Angeles locations, on April 29 and May 13, respectively.",transitive,transitive,causative,causative,animate,animate,agent,agent,the Museum of Television and Radio,screen,its six unaired episodes
"To its fans, Astro Quest is more than just a television show. It's a religion. When he screened his Redux, that was the sci-fi equivalent of Martin Luther nailing his "" 95 Theses "" to the door of the Castle Church in Wittenberg.",transitive,transitive,causative,causative,animate,animate,agent,agent,he,screened,his Redux
All your life has been the pursuit of seeing a great film. This new version of raiders has digital effects Beyond your wildest dreams. You want to see it screened just as much as i.,intransitive,intransitive,causative,anticausative,inanimate,inanimate,patient,patient,it,screened,
We shall screen it here and then destroy All the old prints in celebration! ,transitive,transitive,causative,causative,animate,animate,agent,agent,We,screen,it
"You know, on May 13th, the day before Israeli Independence Day the TV stations in Israel screen the name of every soldier who's fallen for the country. ",transitive,transitive,causative,causative,animate,animate,agent,agent,the TV stations in Israel,screen,the name of every soldier who's fallen for the country
"After the regime's overthrow, he returned to make educational films for the illiterate majority and toured the country with eight cinema caravans, which also screened old Chaplin and Keaton comedies. ",transitive,transitive,causative,causative,animate,animate,agent,agent,eight cinema caravans,screened,old Chaplin and Keaton comedies
"Instead of the familiar collection of rose-stem bones and clockwork joints the TVs had been screening for months, there was nothing but static.",transitive,transitive,causative,causative,inanimate,inanimate,agent,agent,the TVs,screening,the familiar collection of rose-stem bones and clockwork joints
"They had just finished screening the first three seasons in the audiovisual Common Room, where Dazzle was enjoying his best attendance of the term.",transitive,transitive,causative,causative,animate,animate,agent,agent,They,screening,the first three seasons
You were nervous about screening it in Dubai.,transitive,transitive,causative,causative,animate,animate,agent,agent,You,screening,it
"While the animation department felt stagnant, Tron, a live-action foature using the latest computer technology, was screened for employees at the studio.",intransitive,intransitive,causative,anticausative,inanimate,inanimate,patient,patient,"Tron, a live-action feature using the latest computer technology",screened,for employees at the studio
So this episode was screened for Lucas.,intransitive,intransitive,causative,anticausative,inanimate,inanimate,patient,patient,this episode,screened,Lucas
"Somebody asked, when we screened it at Lucasfilm:",transitive,transitive,causative,causative,animate,animate,agent,agent,we,screened,it
"I don't know that I hear a big laugh every time we screen this to this Dr Who gag, which I love.",transitive,transitive,causative,causative,animate,animate,agent,agent,we,screen,this
"When we screened the preview at Comic-Con, this part with the sagging lightsaber got a laugh and also a gasp from the audience.",transitive,transitive,causative,causative,animate,animate,agent,agent,we,screened,the preview
Most recently it screened Neil Jordan's dreary remake of Jean-Pierre Melville's classic noirish Bob le Flambeur.,transitive,transitive,causative,causative,animate,inanimate,agent,agent,it,screened,Neil Jordan's dreary remake of Jean-Pierre Melville's classic noirish Bob le Flambeur
"In the home in the Scottish highlands that she shares with artist John Byrne and their five-year-old twins, Xavier and Honor, Swinton screens videos of the shows.",transitive,transitive,causative,causative,animate,animate,agent,agent,Swinton,screens,videos of the shows
"She invited Jean-Michel Cousteau, Jacques's son, to the White House in April to screen a film on the islands.",transitive,transitive,causative,causative,animate,animate,agent,agent,Jean-Michel Cousteau,screen,a film on the islands
"What worried the Motion Picture Association of America (MPAA) when the ratings body screened Saw III, the latest installment in the lucrative, torture-based horror franchise, was the disturbing "" tonality, "" according to the film's director, Darren Lynn Bousman. ",transitive,transitive,causative,causative,animate,animate,agent,agent,the ratings body,screened,Saw III
"Her two latest -- an adaptation of the children's classic Charlotte's Web, in theaters this month, and the gritty indie Hound Dog, which will screen at the Sundance Film Festival in January -- represent opposite ends of the young star's growing oeuvre. ",intransitive,intransitive,anticausative,anticausative,inanimate,inanimate,patient,patient,Hound Dog,screen,
"Besides teaching media literacy in the faith community, I screen films; attend press junkets; hear directors, writers, and actors speak about their craft; and review at least six movies a month. ",transitive,transitive,causative,causative,animate,animate,agent,agent,I,screen,films
"According to Roll Call, the RSC celebrated by screening a key scene from the movie The Bridge On the River Kwai, in which the bridge is blown up. ",transitive,transitive,causative,causative,animate,animate,agent,agent,the RSC,screening,a key scene from the movie The Bridge On the River Kwai
See Jan. 1 5 1 p.m.: Movies Ibr Mommies Screening new movies four times a week in a baby-friendly environment.,transitive,transitive,causative,causative,animate,animate,agent,agent,Movies Ibr Mommies,screening,new movies
"Since August 1999, it has been playing twice a week at London's Prince Charles Cinema (where it sometimes screens back-to-back with another participatory camp-fest, The Rocky Horror Picture Show).",intransitive,intransitive,anticausative,anticausative,inanimate,inanimate,patient,agent,it,screens,
"A new 35mm print of "" Some Like It Hot "" will be screened at 6 p.m. Jan. 18 at the Film Center; [...]",intransitive,intransitive,causative,anticausative,inanimate,inanimate,patient,patient,"A new 35mm print of ""Some Like It Hot""",screened,at 6 p.m. Jan. 18 at the Film Center
"All morning, buzz had rippled through the lot that producer Joel Silver would be screening, for the first time, 20 minutes from the sci-fi smash hit's two feverishly anticipated sequels, "" The Matrix Reloaded "" and "" The Matrix Revolutions, "" both of which will hit theaters in 2003.",transitive,intransitive,causative,anticausative,animate,animate,agent,agent,producer Joel Silver,screening,
"In 2001, when "" The Fellowship of the Ring "" was to be released in December, New Line ordered a 20-minute cut to screen at the Cannes Film Festival in May.",intransitive,intransitive,anticausative,anticausative,inanimate,animate,patient,agent,New Line,screen,a 20-minute cut
We got some complaints of HB copies that were screening without 45 seconds at the end of reel 5.,intransitive,intransitive,anticausative,anticausative,inanimate,inanimate,patient,patient,HB copies,screening,
All copies are printed correctly but may be screened with that 45 seconds missing by omission in the' assembly' of the platter.,intransitive,intransitive,causative,anticausative,inanimate,inanimate,patient,patient,all copies,screened,
Executives are screening films in church community rooms.,transitive,transitive,causative,causative,animate,animate,agent,agent,Executives,screening,films
"In October, the documentary "" Youth Homelessness: A Growing Trend, "" produced by AHO and narrated by Peter Coyote with a score by Narada Michael Walden, will screen at the Mill Valley Film Festival.",intransitive,intransitive,anticausative,anticausative,inanimate,inanimate,patient,patient,"the documentary "" Youth Homelessness: A Growing Trend, """,screen,at the Mill Valley Film Festival
""" Passion Power: The Technology of Orgasm "" premieres at Lincoln Center in New York on Saturday and will be screened at the Mill Valley Film Festival in October.",intransitive,intransitive,causative,anticausative,inanimate,inanimate,patient,patient,Passion Power: The Technology of Orgasm,screened,
I was the only person in the theater. They screened it for me anyway.,transitive,transitive,causative,causative,animate,animate,agent,agent,They,screened,it
"And though the article spent less time on Waterfield than his wife -- Hollywood bombshell Jane Russell, star of Howard Hughes? s "" sex western "" The Outlaw, which censors still hadn? t allowed to be screened in the U.S. -- the mere thought that a player for the Cleveland Rams would merit space in Life seemed to Reeves a miracle in itself.",transitive,intransitive,causative,anticausative,animate,inanimate,agent,patient,The Outlaw,screened,N/A
"There would be no Oscars for The Road to Rome, which was completed on a modest budget that year and screened before limited audiences -- Wall Street analysts mostly, and here and there a Coke bottler.",intransitive,intransitive,causative,anticausative,inanimate,inanimate,patient,patient,The Road to Rome,screened,
"Most films screened in Tanganyika were produced in India, the United States, or Europe, supplemented by government films from Tanganyika's Information Department and various government-produced "" Bantu "" films.",intransitive,intransitive,causative,anticausative,inanimate,inanimate,patient,patient,Most films,screened,
Africans trying to enter were harassed and often forced to attend poorer theaters that screened silent movies.,transitive,transitive,causative,causative,animate,inanimate,agent,agent,poorer theaters,screened,silent movies
"Tajo had to fight to make sure he was not passed over by cinema managers, who would often seize upon the excuse of censor unavailability to justify screening films without consulting "" certain "" censors on duty.",transitive,transitive,causative,causative,animate,animate,agent,agent,cinema managers,screening,films
"Lewis "" Scooter "" Libby, screened a video of the Dark Winter exercise for Cheney, showing that the United States was virtually defenseless against smallpox or any other biological attack.",transitive,transitive,causative,causative,animate,animate,agent,agent,"Lewis "" Scooter "" Libby",screened,a video of the Dark Winter exercise
The clear wall he used to screen flat images had frozen on two faces he thought he would never see again: Kroly and Ishani Grazian. ,transitive,transitive,causative,causative,animate,inanimate,agent,agent,The clear wall,screen,flat images
"The latest "" James Bond movie, "" Casino Rayale, had been screening everywhere, as I had seen myself in the previous months, where it was playing in every city I went to.",intransitive,intransitive,anticausative,anticausative,inanimate,inanimate,patient,patient,"The latest ""James Bond movie, ""Casino Royale""",screening,
"Later on, The Harbour was adapted into a film, screening throughout China.",intransitive,intransitive,anticausative,anticausative,inanimate,inanimate,patient,patient,The Harbour,screening,
"When you screened the film for about 100 people, they did not know that the film was a retelling of the story of you and her.",transitive,transitive,causative,causative,animate,animate,agent,agent,you,screened,the film
Because on lifetime they are screening - - wait for it -- - Markie Post -- - Shut up. - In a little movie called... - Losing Face...,transitive,transitive,causative,causative,animate,animate,agent,agent,they,screening,Markie Post
Now Justine prayed that the network would feel the same when she screened it for them next week.,transitive,transitive,causative,causative,animate,animate,agent,agent,she,screened,it
"So yes, we'll screen the film whenever Miranda wants",transitive,transitive,causative,causative,animate,animate,agent,agent,we,screen,the film
"When Trevor took over the Big Top, he screened the films of his youth.",transitive,transitive,causative,causative,animate,animate,agent,agent,he,screened,the films of his youth
"So, later I heard that they are screening RoboCop at the library and I've never seen it",transitive,transitive,causative,causative,animate,animate,agent,agent,they,screening,RoboCop
They had to shut the Regent Theatre down after screening a film in there. ,transitive,transitive,causative,causative,animate,animate,agent,agent,They,screening,a film
"Even when Ian showed him the movie -- screened on a sheet in his New York apartment, the spring after the trip -- Peter didn't get it.",intransitive,intransitive,causative,anticausative,inanimate,inanimate,patient,patient,the movie,screened,a sheet in his New York apartment
"The film has even been screened to rave reviews at the inaugural Middleburg Film Festival in October, Johnson's gift to a town with no movie theater.",intransitive,transitive,causative,causative,inanimate,inanimate,patient,agent,the film,screened,to rave reviews at the inaugural Middleburg Film Festival in October
"I'm sure you won't remember, but we met fleetingly in Cannes on the terrace at the Majestic a few years ago (my film Ten And A Half Grand was screening).",intransitive,intransitive,anticausative,anticausative,inanimate,inanimate,patient,patient,my film Ten And A Half Grand,screening,
"In her concrete hovel, mouthing black beans and screening footage, Leo worried.",transitive,transitive,causative,causative,animate,animate,agent,agent,Leo,screening,footage
He might be screening it right now.,transitive,transitive,causative,causative,animate,animate,agent,agent,He,screening,it
I've got an opportunity for you to screen your documentary next week. ,transitive,transitive,causative,causative,animate,animate,agent,agent,you,screen,your documentary
"And until recently, the Chinese government would allow only 20 foreign films to screen in its theaters each year, and kept a greater cut of ticket sales than Hollywood thought was fair.",intransitive,intransitive,anticausative,anticausative,inanimate,inanimate,patient,agent,20 foreign films,screen,in its theaters each year
""" They became engaged in a creative, collaborative process, "" says Heriza, whose film, Concrete, Steel & Paint, has been screened nationwide. ",intransitive,intransitive,causative,anticausative,inanimate,inanimate,patient,patient,"film, Concrete, Steel & Paint",screened,
"So far Kickstarter members have contributed nearly $1 billion to 55,000 projects, helping to launch the Pebble smartwatch, the Oculus Rift virtual-reality headset, playgrounds, orbiting satellites, and 20 movies that were screened at 2014's Sundance festival.",intransitive,intransitive,causative,anticausative,inanimate,inanimate,patient,patient,20 movies,screened,at 2014's Sundance festival
"Should you have kids of your own one day, will you be screening back episodes?",transitive,transitive,causative,causative,animate,animate,agent,agent,you,screening,back episodes
