text,transitivity,gpt_transitivity,causativity,gpt_causativity,subject_animacy,gpt_subject_animacy,subject_role,gpt_subject_role,gpt_subject,gpt_verb,gpt_object
"Waiting in the driveway were Meg and John; Peggy Jo's parents; Bill's sister, Ms's. Olin Boone and her 15-year-old son, Scott; a practical nurse; six policemen; two reporters; and a seven-man TV camera crew, taking pictures for NBC's First Tuesday show to be aired in September.",intransitive,intransitive,causative,anticausative,inanimate,inanimate,patient,patient,show,aired,
"In a more tentative gesture, ABC has Kung Fu, an adventure show set in the old West with a Chinese hero, to be aired every fourth Saturday.",intransitive,intransitive,causative,anticausative,inanimate,inanimate,patient,patient,"Kung Fu, an adventure show set in the old West with a Chinese hero",aired,
"NBC announced last week that henceforth there will be more "" warmth "" written into these plug-uglies, and in an unusual step, aired two segments of the show.",transitive,transitive,causative,causative,animate,animate,agent,agent,NBC,aired,two segments of the show
"One-hour replays of Notre Dame games will again be a weekly feature in more than 100 markets and five live Grambling College games will be aired in cities with large black populations, such as Los Angeles, Chicago, Detroit, Washington, D.C. and New York.",intransitive,intransitive,causative,anticausative,inanimate,inanimate,patient,patient,five live Grambling College games,aired,
This season ABC already has plugged a college game into its Monday night schedule -- Notre Dame- Georgia Tech last week -- and it will probably air at least one bowl game on a Monday night.,transitive,transitive,causative,causative,animate,animate,agent,agent,it,air,at least one bowl game
"And, though ABC showed spunk in airing the program, it did so on Labor Day. ",transitive,transitive,causative,causative,animate,animate,agent,agent,ABC,airing,the program
"Part of the slippage is due to the popularity of two comedy shows, Maude and Rhoda, aired by CBS.",intransitive,transitive,causative,causative,inanimate,animate,patient,agent,CBS,aired,"two comedy shows, Maude and Rhoda"
"Highly in demand as a banquet speaker or master of ceremonies for many years, Garagiola became a familiar figure in most American households as a result of his regular appearances on the "" Today "" show aired over the NBC television network.",intransitive,intransitive,causative,anticausative,inanimate,inanimate,patient,patient,show,aired,
"KNTV even found itself reporting the fuss, and aired the beach spot during its news broadcast. ",transitive,transitive,causative,causative,animate,animate,agent,agent,KNTV,aired,the beach spot
"Several days before the program was aired, the N.R.A. infiltrated an affiliates' screening and jotted down the names of the advertisers present. ",intransitive,intransitive,causative,anticausative,inanimate,inanimate,patient,patient,the program,aired,
"As written, the program's format contained several controversial segments, including a four-minute "" sermonette "" by comedian David Steinberg, whose previous irreverent monologue "" on the well known personality of Moses "" had stirred heated opposition and had led CBS to promise that no more Steinberg sermonettes would be aired.",intransitive,intransitive,causative,anticausative,inanimate,inanimate,patient,patient,sermonettes,aired,
Any station that aired such material would then know that the FCC might refuse to renew its license.,transitive,transitive,causative,causative,animate,animate,agent,agent,Any station,aired,such material
"The producers of The Rookies, for example, had expected to recoup huge profits from a sale to independent, nonnetwork stations that might have aired the programat, say, 7:30 in the evening. ",transitive,transitive,causative,causative,animate,animate,agent,agent,stations,aired,the program
"After reminiscing with Carson for a few minutes about the so-called Golden Age of television (in which, as she recalled, corpses would accidentally be shown crawling off the set, because everything was broadcast live), she showed an unexpurgated clip from an episode of Fay that was scheduled to be aired the next night.",intransitive,intransitive,causative,anticausative,inanimate,inanimate,patient,patient,an episode of Fay,aired,
"He criticized CBS for airing the episode of Phyllis called "" Bess, Is You a Woman Now? """,transitive,transitive,causative,causative,animate,animate,agent,agent,CBS,airing,"the episode of Phyllis called ""Bess, Is You a Woman Now?"""
"During the hours when these predictably ineffectual programs were aired by the network affiliates, the independent stations showed such syndicated action-adventures as The Untouchables, Perry Mason, and Mod Squad, often gaining excellent ratings and financial success.",intransitive,intransitive,causative,anticausative,inanimate,inanimate,patient,patient,these predictably ineffectual programs,aired,
""" Bess, Is You a Woman Now? "" had been broadcast, albeit with a new ending; Larry Gelbart had been allowed to treat all four subjects the censors had red-flagged the previous May, though he had felt compelled to relegate the subject of venereal disease to a subplot; and Danny Arnold had finally gotten word that ABC would air his program featuringthe gay character Marty and "" the fruit hustle ""? indeed, it was to be broadcast that very evening.",transitive,transitive,causative,causative,animate,animate,agent,agent,ABC,air,"his program featuring the gay character Marty and ""the fruit hustle"""
The television station was airing a seemingly endless series of commercials before the Senator's news conference.,transitive,transitive,causative,causative,animate,animate,agent,agent,The television station,airing,a seemingly endless series of commercials
The mini-series was aired in daily segments of about five minutes each on the early evening news broadcast.,intransitive,intransitive,causative,anticausative,inanimate,inanimate,patient,patient,The mini-series,aired,
(The program was aired at 3:09 qn a Sunday morning.),intransitive,intransitive,causative,anticausative,inanimate,inanimate,patient,patient,The program,aired,
"During those periods, ratings services measure the audiences of local stations, and the networks often air their strongest shows then to boost affiliate ad rates.",transitive,transitive,causative,causative,animate,animate,agent,agent,the networks,air,their strongest shows
"Born Innocent, a made-for-TV film aired by NBC in 1974, starred Linda Blair as a teenage runaway who is shunted off to a juvenile detention home and there raped with a broom handle by a gang of lesbian inmates.",intransitive,intransitive,causative,anticausative,inanimate,inanimate,patient,patient,a made-for-TV film,aired,
"By the time it aired last fall on ABC-TV, however, she was 17 and therefore an adult in the eyes of the film industry.",intransitive,intransitive,anticausative,anticausative,inanimate,inanimate,patient,patient,it,aired,
"They will be aired over the PBS network each Tuesday night, beginning April 12. ",intransitive,intransitive,causative,anticausative,inanimate,inanimate,patient,patient,They,aired,
"Two shows will be virtually uncut and as ho made them for the American Broadcasting Co. One is the last show he made, which was Close-up aired posthumously.",intransitive,intransitive,causative,anticausative,inanimate,inanimate,patient,patient,Close-up,aired,
"The Chicago Public Library has been receiving dozens of calls daily about genealogy since "" Roots, "" compared with one or two before the show was aired.",intransitive,intransitive,causative,anticausative,inanimate,inanimate,patient,patient,the show,aired,
"Richard M. Nixon declared, in an interview to be aired tomorrow night, that he had inherent power to order burglaries, eavesdropping or other illegal conduct against American dissidents when he was in the White House.",intransitive,intransitive,causative,anticausative,inanimate,inanimate,patient,patient,interview,aired,
The network often receives a program only a day or two before it is aired. ,intransitive,intransitive,causative,anticausative,inanimate,inanimate,patient,patient,it,aired,
What you just saw was the beginning of Scared Straight... A groundbreaking film that won an Academy Award and eight Emmys when it first aired 20 years ago.,intransitive,intransitive,anticausative,anticausative,inanimate,inanimate,patient,patient,it,aired,
""" Do you realize, Teddy, "" and he looked grave, discouraged, the way all the presidents were obliged to look after talking to their opposite number in the Kremlin, "" that Kalki, and the end of the world, are going to get eleven and a half minutes on CBS's 6o Minutes to be aired this Sunday? ",intransitive,intransitive,causative,anticausative,inanimate,inanimate,patient,patient,eleven and a half minutes,aired,
"Accompanying instructions asked that the contents of the tape be printed in the next editions of the paper, and that the tape itself be aired by BBC in its morning and evening newscasts.",intransitive,intransitive,causative,causative,inanimate,animate,patient,agent,BBC,aired,tape
A new tape was arriving at the London Times each morning with the instructions that it be aired by the British Broadcasting Company networks that same day.,intransitive,transitive,causative,causative,inanimate,inanimate,patient,agent,it,aired,by the British Broadcasting Company networks
"Patricia Lynch, a producer for NBC, filmed a report on Synanon activities that was aired last June. ",intransitive,intransitive,causative,anticausative,inanimate,inanimate,patient,patient,a report on Synanon activities,aired,
"If violence (which Getis seems to equate with the pop culture) is to be the criterion for deciding when programs are to be seen on TV, when will they air "" Hamlet ""?",transitive,transitive,causative,causative,animate,inanimate,agent,agent,they,air,"""Hamlet"""
Many adults were drawn to the live broadcast of the Bob and Betty Sanders show on WBBM radio being aired from the pier throughout the festival.,intransitive,intransitive,causative,anticausative,inanimate,inanimate,patient,patient,the Bob and Betty Sanders show,aired,
"When the first episode of Roots aired on Jan. 23, 1977, there were no signs that a phenomenon was in the making.",intransitive,intransitive,anticausative,anticausative,inanimate,inanimate,patient,patient,the first episode of Roots,aired,
"It was Jan 31, 1977, the morning after the last episode of Roots was aired.",intransitive,intransitive,causative,anticausative,inanimate,inanimate,patient,patient,the last episode of Roots,aired,
"The program is taped at the Charlotte station several times a year after the English "" PTL Club "" is aired.",intransitive,intransitive,causative,anticausative,inanimate,inanimate,patient,patient,"the English ""PTL Club""",aired,
"Ratings for the six games, including the Soccer Bowl, aired last summer, averaged out to a dismal 2.6 market share.",intransitive,intransitive,causative,anticausative,inanimate,inanimate,patient,patient,"Ratings for the six games, including the Soccer Bowl",aired,
"Now a Los Angeles TV station has aired excerpts of video-taped sessions with Bianchi, involving Watkins and five psychiatrists (the judge picked all the experts, including two nominated by the defense, two by the prosecution).",transitive,transitive,causative,causative,animate,animate,agent,agent,a Los Angeles TV station,aired,excerpts of video-taped sessions with Bianchi
Reports of meetings between Ford and Reagan were aired on the evening news shows.,intransitive,transitive,causative,causative,inanimate,inanimate,patient,agent,Reports of meetings between Ford and Reagan,aired,on the evening news shows
"Commercials saying, "" We're family.... Get to know us, "" are being aired by the Catholic Church?",intransitive,transitive,causative,causative,inanimate,animate,patient,agent,the Catholic Church,aired,Commercials
"CBS has aired letters too, and last year had its 60 Minutes reporters examine on air their own reporting techniques.",transitive,transitive,causative,causative,animate,animate,agent,agent,CBS,aired,letters
"He taped TV spots to be aired in 30 regions in a $400,000 ad campaign by the committee.",intransitive,intransitive,causative,anticausative,inanimate,inanimate,patient,patient,TV spots,aired,
"This month alone The Entertainment Channel is offering a splendid re-creation of Stephen Sondheim's Sweeney Todd, starring Angela Lansbury and George Hearn; Showtime has Paul Osborn's 1939 comedy Morning's at Seven, with four stars from its recent Broadway revival; and Home Box Office is airing Camelot, with Richard Harris as King Arthur in the throes of male menopause.",transitive,transitive,causative,causative,animate,animate,agent,agent,Home Box Office,airing,Camelot
"The President's intemperate words were captured on tape, later aired nationally, and almost instantly became an issue.",intransitive,intransitive,causative,anticausative,inanimate,inanimate,patient,patient,The President's intemperate words,aired,
Ward concedes that cable operators in Massachusetts have so far aired nothing racier than R-rated movies.,transitive,transitive,causative,causative,animate,animate,agent,agent,cable operators in Massachusetts,aired,nothing racier than R-rated movies
"There followed a lean patch -- the Starsky and Hutch episode aired and he was not in it, and the Burt Reynolds movie played and he was not in that either.",intransitive,intransitive,anticausative,anticausative,inanimate,inanimate,patient,patient,the Starsky and Hutch episode,aired,
"Though they would like to have the film aired, officials of the University of Utah, KUED and the hospital all say they will abide by Mrs. Clark's wishes. ",intransitive,transitive,causative,causative,inanimate,animate,patient,agent,"officials of the University of Utah, KUED and the hospital",aired,the film
"The program is airing in four segments this week as a follow-up to The Day After, the ABC film on the consequences of a nuclear exchange.",intransitive,intransitive,anticausative,anticausative,inanimate,inanimate,patient,agent,The program,airing,
"In the end, with Spelling and Goldberg's help, the episode was aired as scheduled.",intransitive,intransitive,causative,causative,inanimate,inanimate,patient,patient,the episode,aired,
"For all that, the show was "" a timid groundbreaker, "" Hailey said after the pilot aired.",intransitive,intransitive,anticausative,anticausative,inanimate,inanimate,patient,patient,the pilot,aired,
"In September, National Public Radio rebroadcast a series of half- hour Bob and Ray shows recorded and first aired last year. ",intransitive,intransitive,causative,anticausative,inanimate,inanimate,patient,patient,a series of half-hour Bob and Ray shows,aired,
"The threats are tied to the documentary program "" Ap84Profile of Senator Abigail Jennings, "" which Miss Traymore will produce and narrate, to be aired next Wednesday night on Potomac Cable Television.' """,intransitive,intransitive,causative,anticausative,inanimate,inanimate,patient,patient,"the documentary program ""Ap84Profile of Senator Abigail Jennings""",aired,
"Unfortunately, the suggestion that you are being threatened because of this program is bound to lead to all sorts of speculation. I really want to get this thing wrapped up, Pat. Obviously, once it's completed and aired, the threats will end even if they are simply from some sort of crank. ",intransitive,intransitive,causative,anticausative,inanimate,inanimate,patient,patient,the threats,aired,
My wife and daughter would not enjoy having the shabby little tale of my involvement with Abigail aired on national television.,intransitive,transitive,causative,causative,inanimate,animate,patient,agent,my wife and daughter,aired,the shabby little tale of my involvement with Abigail
"And we air the program on the twenty-seventh, Pat thought.",transitive,transitive,causative,causative,animate,animate,agent,agent,we,air,the program
"After the program was aired, if there were no more threats, she'd throw it away.",intransitive,intransitive,causative,anticausative,inanimate,inanimate,patient,patient,the program,aired,
Tomorrow we do some in-studio scenes and tomorrow night it will be aired.,intransitive,intransitive,causative,anticausative,inanimate,inanimate,patient,patient,it,aired,
Catherine Graney would have followed through on her threat to sue Senator Jennings and the network after the program was aired. ,intransitive,intransitive,causative,anticausative,inanimate,inanimate,patient,patient,the program,aired,
"Days of Our Lives is airing episodes taped at the World's Fair in New Orleans, and Another World has shot several segments on locations around New York City.",transitive,transitive,causative,causative,inanimate,inanimate,agent,agent,Days of Our Lives,airing,episodes
"But before it aired that evening, 17 segments were deleted. ",intransitive,intransitive,anticausative,anticausative,inanimate,inanimate,patient,patient,it,aired,
"These stations air not only Keillor's whimsically witty Prairie Home Companion but a diverse medley of classical music programs including High Performance, a kind of Great Performances of jazz, classical and folk music, and highlights of music festivals from Bayreuth to Spoleto.",transitive,transitive,causative,causative,animate,inanimate,agent,agent,These stations,air,"not only Keillor's whimsically witty Prairie Home Companion but a diverse medley of classical music programs including High Performance, a kind of Great Performances of jazz, classical and folk music, and highlights of music festivals from Bayreuth to Spoleto"
"The scene is from Blondes vs Brunettes, an ABC-TV special to be aired next week, which features TV's brunet queen meanie, Collins, and Morgan Fairchild, 34, a blond TV vixen.",intransitive,intransitive,causative,anticausative,inanimate,inanimate,patient,patient,an ABC-TV special,aired,
"Malibu, the TV series, was not well received. Kathryn Altman, wife of director Robert, happened to be in Manhattan when it was aired, and noticed some tittering at her aerobics class.",intransitive,intransitive,causative,anticausative,inanimate,inanimate,patient,patient,it,aired,
"The government aired a videotape showing him in good health, but the press identified it as old footage. ",transitive,transitive,causative,causative,animate,animate,agent,agent,The government,aired,a videotape
"Another book is in the planning stage (Garfield: His Nine Lives) and a third prime-time TV special ("" Garfield In The Rough "") will be aired this fall.",intransitive,transitive,causative,causative,inanimate,animate,patient,agent,a third prime-time TV special,aired,this fall
Or a theater piece based on a video game in which a pair of TVs make love in the mind of a young lady whose lives are recounting in a miniseries as described in an unproduced treatment recycled for TV by video people for a talk show that is aired in the dark.,intransitive,intransitive,causative,anticausative,inanimate,inanimate,patient,patient,a talk show,aired,
Behind him the radio aired a commercial for a law firm that specialized in accident claims.,transitive,transitive,causative,causative,animate,inanimate,agent,agent,the radio,aired,a commercial for a law firm that specialized in accident claims
"In a courtroom studded with ten television monitors, Burt tried to build his case by contrasting the documentary as it was aired with CBS's outtakes, the portions of filmed interviews that were cut from the program. ",intransitive,intransitive,causative,anticausative,inanimate,inanimate,patient,patient,the documentary,aired,
Portions of The Silent Scream aired on network news shows last week. ,intransitive,intransitive,anticausative,anticausative,inanimate,inanimate,patient,patient,Portions of The Silent Scream,aired,
"Later in the week, the BBC's director general, Alasdair Milne, said that the offending documentary would be shown once it had been re-edited to remove "" certain weaknesses. "" But even that was not to be. After discussions with the board of governors, Milne announced that it would probably not be aired at all this year.",intransitive,intransitive,causative,anticausative,inanimate,inanimate,patient,patient,it,aired,
For a few brief moments -- when the special is aired in the spring -- they will be background actors on the M/V Love Boat.,intransitive,intransitive,causative,anticausative,inanimate,inanimate,patient,patient,the special,aired,
"As for some of the others, the callow Anthony Michael Hall -- who was 7 years old when the first "" SNL "" aired in 1975 and already has shown his talent in movies like "" 16 Candles "" and "" The Breakfast Club "" -- was reduced to playing a junkie who sells stolen electronic merchandise. ",intransitive,intransitive,anticausative,anticausative,inanimate,inanimate,patient,patient,"the first ""SNL""",aired,
"But in more than 60 films, the last of them a made-for-TV movie that aired in March 1984, Cagney stood a head above any mob of imitators.",intransitive,intransitive,anticausative,anticausative,inanimate,inanimate,patient,patient,a made-for-TV movie,aired,
"At the precise moment that the three networks began airing their evening newscasts last Monday, U.S. attack planes were roaring toward their five Libyan targets.",transitive,transitive,causative,causative,animate,animate,agent,agent,the three networks,airing,their evening newscasts
"A Christian television station in Clearwater, Fla., recently aired a 30-min. videotape made by Vice President and Presidential Aspirant George Bush, in which the lifelong Episcopalian attempts to answer the question of whether he is "" born again. "" ",transitive,transitive,causative,causative,animate,animate,agent,agent,"A Christian television station in Clearwater, Fla.",aired,a 30-min. videotape made by Vice President and Presidential Aspirant George Bush
NBC has aired more than 400 reports on drug abuse since the beginning of March; ABC two weeks ago highlighted drugs on all its news programs.,transitive,transitive,causative,causative,animate,animate,agent,agent,NBC,aired,more than 400 reports on drug abuse
"PBS vice president Barry Chase claims that airing the documentary would jeopardize the network's "" journalistic integrity. """,transitive,transitive,causative,causative,animate,animate,agent,agent,airing,airing,the documentary
No one with any integrity could have read Valladares and then approved airing a film containing monstrous lies about things that Valladares had exposed in his book.,transitive,transitive,causative,causative,animate,animate,agent,agent,No one with any integrity,airing,a film containing monstrous lies
"The first live "" A Prairie Home Companion "" broadcast -- aired solely to a Minnesota audience -- took place in a small college auditorium on July 6, 1974.",intransitive,intransitive,causative,anticausative,inanimate,inanimate,patient,patient,"The first live ""A Prairie Home Companion"" broadcast",aired,
"The studio audience has sometimes numbered 80 people, says Mary Spalding, the show' s director, and The Friday Club has been aired on stations in the Boston area and in Portland, Me.",intransitive,intransitive,causative,anticausative,inanimate,inanimate,patient,patient,The Friday Club,aired,
"NBC broadcast the first AIDS TV movie, An Early Frost, in 1985, and this week CBS airs An Enemy Among Us, in which a teenager gets AIDS from a transfusion.",transitive,transitive,causative,causative,animate,animate,agent,agent,CBS,airs,An Enemy Among Us
"Recorded in September 1985 by the Bedford-based Gospel Workshop for Children, a nonprofit evangelical Christian "" music ministry "" organized by Sharon's mother Jan, Dear Mr. Jesus first aired in 1986 on a Port Arthur, Texas, radio station. ",intransitive,intransitive,anticausative,anticausative,inanimate,inanimate,patient,patient,Dear Mr. Jesus,aired,
"In a public-education spot being aired this month, First Lady Nancy Reagan warns that "" last year, over 1 million cases of child abuse were documented... and for every case reported, 3 other cases were ignored. "" ",intransitive,intransitive,causative,anticausative,inanimate,inanimate,patient,patient,spot,aired,
"On June 5, four days after his announced retirement, a local TV station aired an interview with him.",transitive,transitive,causative,causative,animate,inanimate,agent,agent,a local TV station,aired,an interview with him
"Two weeks ago, Downey was arraigned on an assault charge filed by Gay Activist Andrew Humm, a guest who claims Downey slapped him after a heated exchange during a show (never aired) on the Roman Catholic Church.",intransitive,intransitive,causative,anticausative,inanimate,inanimate,patient,patient,a show,aired,
Surveys taken before the final debate and before the last ads were aired reinforced the conventional wisdom that Bush was collapsing.,intransitive,intransitive,causative,anticausative,inanimate,inanimate,patient,patient,the last ads,aired,
They ruled that Swaggart must stay out of the pulpit and off TV for a year; even past tapes can not be aired.,intransitive,intransitive,causative,anticausative,inanimate,inanimate,patient,patient,past tapes,aired,
"Though the summit dominated regularly scheduled newscasts, none of the three networks aired a prime-time or late-night special on the subject. ",transitive,transitive,causative,causative,animate,inanimate,agent,agent,none of the three networks,aired,a prime-time or late-night special on the subject
"The Public Broadcasting Service, also picking up on the current wave of interest, is airing a nine-part series called "" The Mind. """,transitive,transitive,causative,causative,animate,animate,agent,agent,The Public Broadcasting Service,airing,"a nine-part series called ""The Mind"""
""" We're toying with rerunning the Dole ads, "" says one Dukakis staffer in only partial joking reference to the biting nowhere-man commercials that Dole aired against Bush.",transitive,transitive,causative,causative,animate,animate,agent,agent,Dole,aired,the biting nowhere-man commercials
""" There's a similarity between jumping into rehabbing an old house and getting into a treasure hunt, "" observes Bob Vila, an author and the host of the popular show "" This Old House, "" aired nationally on PBS and produced by Boston's WGBH.",intransitive,intransitive,causative,anticausative,inanimate,inanimate,patient,patient,"the popular show ""This Old House""",aired,
The show aired gruesome video clips of animals caught in brutal leg traps.,transitive,transitive,causative,causative,inanimate,inanimate,agent,agent,The show,aired,gruesome video clips of animals caught in brutal leg traps
"As long as viewers want to see American shows, executives at local Eurostations will find a way to air them.",transitive,transitive,causative,causative,animate,animate,agent,agent,executives at local Eurostations,air,them
"Rushnell points to "" The Clowns of Happy Town, "" a quality preschool show that ABC first aired at the same time the people meters were introduced.",transitive,transitive,causative,causative,animate,animate,agent,agent,ABC,aired,The Clowns of Happy Town
"The TV documentary "" Destined to Live, "" first aired last October, will be shown again this spring.",intransitive,intransitive,causative,anticausative,inanimate,inanimate,patient,patient,"The TV documentary ""Destined to Live""",aired,
"In the last episode of War and Remembrance, aired in November 1988, Natalie and her uncle, played by Sir John Gielgud, found themselves interned in a ghetto, an interim stop en route to Auschwitz. ",intransitive,intransitive,causative,anticausative,inanimate,inanimate,patient,patient,In the last episode of War and Remembrance,aired,
The sponsors are the National Bank of Greece and Time Inc. (whose book subsidiary published the Fox book and which is preparing a four-hour television drama on Alexander to be aired by PBS this spring).,intransitive,intransitive,causative,anticausative,inanimate,inanimate,patient,patient,a four-hour television drama on Alexander,aired,
"Sting Charlie Evranian, Sting director of operations, said Tuesday he is "" very optimistic "" the team will have some road games aired on WGN-TV this season. ",intransitive,transitive,causative,causative,inanimate,animate,patient,agent,the team,aired,some road games
"When the next Rare Bird Alert telephone recording was aired, mention was made of the sighting of numerous uncommon birds seen on the count -- but no blue-gray gnatcatcher. was crushed.",intransitive,intransitive,causative,anticausative,inanimate,inanimate,patient,patient,the next Rare Bird Alert telephone recording,aired,
"In television's early, early days (between 1949 and 1955) the oldtime fight-film feature was aired after the Friday night fights.",intransitive,intransitive,causative,anticausative,inanimate,inanimate,patient,patient,the oldtime fight-film feature,aired,
"'' Evening Magazine'' was popular enough in San Francisco its first year that Westinghouse, which owns KPIX, began airing it on the company' s other stations in Boston, Pittsburgh, Philadelphia, and Baltimore.",transitive,transitive,causative,causative,animate,animate,agent,agent,Westinghouse,airing,it
"In Los Angeles,'' Eye on LA'' and'' Two on the Town'' do fierce battle every week-night to gain the edge in audience share.'' PM Magazine'' itself airs just afterward.",intransitive,intransitive,anticausative,anticausative,inanimate,inanimate,patient,patient,PM Magazine,airs,
The first television ad which was aired in only a few major cities had this attention-grabbing message: [...],intransitive,intransitive,causative,anticausative,inanimate,inanimate,patient,patient,The first television ad,aired,
"The ad was never aired, the agreement never negotiated.",intransitive,intransitive,causative,anticausative,inanimate,inanimate,patient,patient,The ad,aired,
"Propp, Spalding and Guinan, the show' s braintrust, are hopeful that Chicago Access Corp. will begin airing their handiwork in the city when the company starts to broadcast, sometime before October.",transitive,transitive,causative,causative,animate,animate,agent,agent,Chicago Access Corp.,airing,their handiwork
"The "" CBS Morning News, "" the Wall Street Journal and countless other news organizations noted an ad, aired last Christmas, for Andre champagne that showed two hapless party guests attacking ossified slices of fruitcake.",intransitive,intransitive,causative,anticausative,inanimate,inanimate,patient,patient,an ad,aired,
"A few similar programs were aired following "" The Day After "" in 1983. ",intransitive,intransitive,causative,anticausative,inanimate,inanimate,patient,patient,A few similar programs,aired,
"Any FCC nominee would have a tough time winning confirmation because of congressional anger at the agency' s elimination of the fairness doctrine, which requires broadcasters airing controversial material to give opponents free air time to respond. ",transitive,transitive,causative,causative,animate,inanimate,agent,agent,broadcasters,airing,controversial material
"This exposure included radio public service announcements broadcast on Spanish radio stations, a special television program aired in Los Angeles county, and an information packet sent to migrant clinics. ",intransitive,intransitive,causative,anticausative,inanimate,inanimate,patient,patient,a special television program,aired,
""" Women of the War "" (which aired last month on Channel 2) was designed as a melancholy look at seven Midwestern women whose lives were touched by the Vietnam War.",intransitive,intransitive,anticausative,anticausative,inanimate,inanimate,patient,patient,"""Women of the War""",aired,
A one-hour documentary on the subject he developed for WMAQ in 1975 never aired. ,intransitive,intransitive,anticausative,anticausative,inanimate,inanimate,patient,patient,A one-hour documentary on the subject he developed for WMAQ in 1975,aired,
